id,houseLink,pictureurl,area,road,size,totlefloor,floor,year,room,hall,bath,totalprice,unitprice
95396L,https://www.sinyi.com.tw/buy/house/95396L/?breadcrumb=list,https://res.sinyi.com.tw/buy/95396L/smallimg/A.JPG,松山區,南京東路五段,38.54,14,4,36.5,3,2,2,3088,80.12
26624D,https://www.sinyi.com.tw/buy/house/26624D/?breadcrumb=list,https://res.sinyi.com.tw/buy/26624D/smallimg/A.JPG,內湖區,成功路四段,80.51,17,7,15.7,4,2,2,5888,73.13
20349T,https://www.sinyi.com.tw/buy/house/20349T/?breadcrumb=list,https://res.sinyi.com.tw/buy/20349T/smallimg/A.JPG,中正區,廈門街,35.78,14,6,10.6,2,2,1,2530,70.71
36650K,https://www.sinyi.com.tw/buy/house/36650K/?breadcrumb=list,https://res.sinyi.com.tw/buy/36650K/smallimg/A.JPG,萬華區,長泰街,82.55,12,3,9.3,3,2,2,4860,58.87
67902N,https://www.sinyi.com.tw/buy/house/67902N/?breadcrumb=list,https://res.sinyi.com.tw/buy/67902N/smallimg/A.JPG,內湖區,新富街,78.72,13,5,7.6,3,2,2,5980,75.97
68817Y,https://www.sinyi.com.tw/buy/house/68817Y,https://res.sinyi.com.tw/buy/46624M/smallimg/A.JPG,士林區,重慶北路四段,94.98,15,2,7.7,4,2,3,4888,51.46
31198T,https://www.sinyi.com.tw/buy/house/31198T/?breadcrumb=list,https://res.sinyi.com.tw/buy/31198T/smallimg/A.JPG,內湖區,文德路,28.61,7,2,4.0,2,2,1,2758,96.4
80878A,https://www.sinyi.com.tw/buy/house/80878A/?breadcrumb=list,https://res.sinyi.com.tw/buy/80878A/smallimg/A.JPG,中山區,敬業三路,47.1,12,11,20.7,3,2,2,3568,75.75
16918E,https://www.sinyi.com.tw/buy/house/16918E/?breadcrumb=list,https://res.sinyi.com.tw/buy/16918E/smallimg/A.JPG,內湖區,文德路,89.54,17,6,11.2,4,2,2,6250,69.8
93781W,https://www.sinyi.com.tw/buy/house/93781W/?breadcrumb=list,https://res.sinyi.com.tw/buy/93781W/smallimg/A.JPG,大安區,羅斯福路三段,57.3,19,5,8.2,2,2,2,6980,121.82
